bodyId,instance,type
1073461640,FQ11_a_C2_R,FQ11_a
421728488,(MBDLaxon1),
202916528,FQ12_b_C4_R,FQ12_b
1279775082,FQ12_a(AB)_C1_R,FQ12_a
203253072,FQ12_a_C3_R,FQ12_a
326530038,PDM22c_pct(PDM22)_R,PDM22c_pct
203253253,(PDM09)_L,
5813079341,FQ12_a_C7_R,FQ12_a
1104824699,FQ12_a_C1_R,FQ12_a
1230328538,FQ12_a(AB)_C1_R,FQ12_a
1011076931,FQ12_a_C3_R,FQ12_a
1136545839,FQ12_a_C1_R,FQ12_a
5813002500,FB01D_L,FB1D
203594175,FQ12_a_C4_R,FQ12_a
203931040,FQ12_a_C3_R,FQ12_a
266200011,PDL05p_pct(PDL05)_R,PDL05p_pct
948342190,FB08b_L,FB8A
1168387674,FB01b_L,FB1B
916629686,FB07j_L,FB7I
885940052,FB08a_L,FB7L
358424052,FB07h_L,FB7H
297243542,PDM07g_pct(PDM07)_R,PDM07g_pct
360254108,PDM07j_pct(PDM07)_R,PDM07j_pct
203598499,FB08a_L,FB7L
204613133,FB08k_L,FB8F
204962969,(PDM05)_L,
204962646,FB07c_L,FB7C
5813039672,(PDM05)_L,
948346519,FB08a_L,FB7L
5813039679,(PDM05)_L,
1652530588,ON_small,ON
262840563,ON_003,ON
540462600,ON_002,ON
232513628,ON_010,ON
5813008755,ON_small,ON
263199096,ON_011,ON
1529527067,ON_small,ON
1685029571,ON_small,ON
5813065110,ON_small,ON
886280641,FB09c(AVM10)_R,FB9B_d
326128670,PDL11u_b_pct(PDL11)_R,PDL11u_b_pct
5813127091,FB09a(PDM25)_R,FB9A
389204888,ADL10d_b_pct(ADL10)_R,ADL10d_b_pct
265120424,PDM18g_pct(PDM18)_R,PDM18g_pct
792692885,,
421003580,PDL17r_pct(PDL17)_R,PDL17r_pct
850233586,PDL17c_b_pct(PDL17)_R,PDL17c_b_pct
359279388,PDL10h_pct(PDL10)_R,PDL10h_pct
325122525,PDL13s_pct(PDL13)_R,PDL13s_pct
295132077,PDM18a_b_pct(PDM18)_R,PDM18a_b_pct
296120593,ADL10oa_pct(ADL10)_R,ADL10oa_pct
420221276,PDL25g_pct(PDL25)_R,PDL25g_pct
669171261,ADL01w_c_pct(ADL01)_R,ADL01w_c_pct
295115628,ADL04b_pct(ADL04)_R,ADL04b_pct
1570685224,mlPN2(AVM04)_R,olfactory multi vPN mlALT
355453590,,PDL13s_pct
326119769,,
294436967,PVL17k_pct(PVL17)_R,PVL17k_pct
574688277,ADL15m_pct(ADL15)_R,ADL15m_pct
759810119,5HT1(CSD),AVM03p
948704521,FQ12_a_C7_R,FQ12_a
725955898,FQ12_b_C6_R,FQ12_b
5813009284,FB01b_L,FB1B
916970574,FQ12_a_C5_R,FQ12_a
916309801,FQ12_a_C6_R,FQ12_a
980391392,FQ12_a_C3_R,FQ12_a
1343550174,FQ12_b(AB)_C2_R,FQ12_b
915610388,FQ12_b_C5_R,FQ12_b
5812986772,FQ12_a(AB)_C2_R,FQ12_a
203257652,FQ12_b_C6_R,FQ12_b
1279775029,FQ12_a_C1_R,FQ12_a
203598542,FQ12_b_C4_R,FQ12_b
1195658585,FQ12_a_C8_R,FQ12_a
203598504,FQ12_a_C5_R,FQ12_a
5813069261,(PDM05)_L,
205299889,FB08i_L,FB7F_b
1072472949,FQ12_a_C4_R,FQ12_a
1073457310,FQ12_a_C2_R,FQ12_a
203594169,FQ12_a_C4_R,FQ12_a
5813026364,PDM18g_pct(PDM18)_R,PDM18g_pct
325455305,PDL13p_pct(PDL13)_R,PDL13p_pct
295799057,ADL10d_a_pct(ADL10)_R,ADL10d_a_pct
5813055748,PDL11u_b_pct(PDL11)_R,PDL11u_b_pct
294424196,PDL13ob_pct(PDL13)_R,PDL13ob_pct
295439322,ADL10d_a_pct(ADL10)_R,ADL10d_a_pct
296148102,ADL07oi_pct(ADL07)_R,ADL07oi_pct
294760699,PDL25h_pct(PDL25)_R,PDL25h_pct
294782432,ADL23f_pct(ADL23)_R,ADL23f_pct
295814411,ADL24olc_pct(ADL24)_R,ADL24olc_pct
297251714,ADM01om_pct(ADM01)_R,ADM01om_pct
295116165,PDL11v_pct(PDL11)_R,PDL11v_pct
885940095,FB08a(PDL05)_R,FB7L
295797312,PDL17z_pct(PDL17)_R,PDL17z_pct
418875451,PDL10g_e_pct(PDL10)_R,PDL10g_e_pct
264779403,PDL19h_pct(PDL19)_R,PDL19h_pct
5813009281,PDL19h_pct(PDL19)_R,PDL19h_pct
295473400,PDM08q_a_pct(PDM08)_R,PDM08q_a_pct
5813057148,PDM05c_pct(PDM05)_R,PDM05c_pct
